Jumlah Tokoh Agama di Kota Batu Tahun 2017-2019,,,,,,,,,,,,,,,,,,,,
Kecamatan,,Jumlah Tokoh Agama,,,,,,,,,,,,,,,,,,
,,Ulama,,,Pendeta,,,Pendeta (katolik),,,Tokoh Agama Budha,,,Tokoh Agama Hindu,,,Tokoh Konghucu,,,
,,,,,,,,,,,,,,,,,,,,
,,2017,2018,2019,2017,2018,2019,2017,2018,2019,2017,2018,2019,2017,2018,2019,2017,2018,2019,
1,Kecamatan Batu,30,30,30,50,50,50,6,6,6,0,0,0,1,1,1,0,0,0,
1,Sumberjo,3,3,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,
2,Songgokerto,3,3,3,12,12,12,1,1,1,0,0,0,1,1,1,0,0,0,
3,Pesanggrahan,5,5,5,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,
4,Ngaglik,2,2,2,13,13,13,3,3,3,0,0,0,0,0,0,0,0,0,
5,Sisir,7,7,7,6,6,6,1,1,1,0,0,0,0,0,0,0,0,0,
6,Sidomulyo,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,Temas,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,Oro Oro Ombo,2,2,2,4,4,4,1,1,1,0,0,0,0,0,0,0,0,0,
2,Kecamatan Bumiaji,28,28,28,9,9,9,0,0,0,0,0,0,6,6,6,0,0,0,
1,Giripurno,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,Pandanrejo,3,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
3,Bumiaji,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,Bulukerto,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
5,Punten,4,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
6,Tulungrejo,2,2,2,4,4,4,0,0,0,0,0,0,6,6,6,0,0,0,
7,Sumbergondo,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,Gunungsari,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,Sumberbrantas,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
3,Kecamatan Junrejo,25,25,25,20,20,20,0,0,0,8,8,8,2,2,2,2,0,0,
1,Beji,5,5,5,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,
2,Torongrejo,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,Pendem,4,4,4,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,
4,Mojorejo,4,4,4,6,6,6,0,0,0,6,6,6,0,0,0,0,0,0,
5,Tlekung,3,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
6,Junrejo,3,3,3,3,3,3,0,0,0,2,2,2,0,0,0,0,0,0,
7,Dadaprejo,3,3,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,
,Kota Batu,83,83,83,79,79,79,6,6,6,8,8,8,9,9,9,2,0,0,
Sumber : Bagian Administrasi Kesejahteraan Rakyat ,,,,,,,,,,,,,,,,,,,,
